rank1,rank2,rank3,rank4,rank5,count
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,2
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Andrew M. Cuomo,,2
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Paperboy Love Prince,2
Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,2
Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,2
Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Andrew M. Cuomo,2
Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,2
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Zohran Kwame Mamdani,2
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,Paperboy Love Prince,2
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,2
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,2
Scott M. Stringer,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,2
Zellnor Myrie,Whitney R. Tilson,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,2
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,2
Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,2
Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,2
Brad Lander,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,2
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Selma K. Bartholomew,2
Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,2
Andrew M. Cuomo,Paperboy Love Prince,Brad Lander,Whitney R. Tilson,Scott M. Stringer,2
Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,Paperboy Love Prince,Adrienne E. Adams,2
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,2
Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,2
Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,Scott M. Stringer,2
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Selma K. Bartholomew,2
Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Selma K. Bartholomew,Zohran Kwame Mamdani,2
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,2
Brad Lander,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,2
Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,2
Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,Jessica Ramos,2
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,2
Brad Lander,Scott M. Stringer,Michael Blake,Whitney R. Tilson,Jessica Ramos,2
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Jessica Ramos,Candidate Write-in,2
Brad Lander,Zohran Kwame Mamdani,Candidate Write-in,Adrienne E. Adams,,2
Andrew M. Cuomo,Adrienne E. Adams,Candidate Write-in,Michael Blake,Scott M. Stringer,2
Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,2
Whitney R. Tilson,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Michael Blake,2
Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,2
Whitney R. Tilson,Brad Lander,Scott M. Stringer,Michael Blake,Andrew M. Cuomo,2
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,2
Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,2
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Brad Lander,Paperboy Love Prince,2
Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Andrew M. Cuomo,Brad Lander,2
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Candidate Write-in,,2
Jessica Ramos,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,,2
Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Selma K. Bartholomew,2
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,,2
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,Jessica Ramos,2
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,2
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,2
Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Michael Blake,2
Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,2
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Paperboy Love Prince,2
Brad Lander,Paperboy Love Prince,Jessica Ramos,,,2
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,,2
Zellnor Myrie,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Candidate Write-in,2
Adrienne E. Adams,Michael Blake,Brad Lander,Paperboy Love Prince,Zohran Kwame Mamdani,2
Scott M. Stringer,Brad Lander,Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,2
Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,,2
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Candidate Write-in,2
Paperboy Love Prince,Andrew M. Cuomo,Adrienne E. Adams,,,2
Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,2
Brad Lander,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Scott M. Stringer,2
Scott M. Stringer,Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,2
Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Paperboy Love Prince,,2
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Michael Blake,,2
Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Paperboy Love Prince,2
Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Zohran Kwame Mamdani,2
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,2
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Jessica Ramos,2
Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Adrienne E. Adams,,2
Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Adrienne E. Adams,,2
Whitney R. Tilson,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Michael Blake,2
Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,2
Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,2
Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,Adrienne E. Adams,2
Scott M. Stringer,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,2
Selma K. Bartholomew,Zohran Kwame Mamdani,Scott M. Stringer,,,2
Zohran Kwame Mamdani,Michael Blake,Paperboy Love Prince,Selma K. Bartholomew,Brad Lander,2
Jessica Ramos,Brad Lander,Whitney R. Tilson,Michael Blake,Scott M. Stringer,2
Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,,2
Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Paperboy Love Prince,Andrew M. Cuomo,2
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,,2
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,,2
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,2
Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,,2
Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,2
Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,2
Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,Adrienne E. Adams,Scott M. Stringer,2
Candidate Write-in,Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,2
Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,2
Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,2
Adrienne E. Adams,Michael Blake,Jessica Ramos,Scott M. Stringer,Brad Lander,2
Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,,,2
Brad Lander,Paperboy Love Prince,Whitney R. Tilson,,,2
Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Zellnor Myrie,Whitney R. Tilson,2
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,2
Michael Blake,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,2
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,,,2
Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,Brad Lander,Michael Blake,2
Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,2
Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,,2
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,,2
Paperboy Love Prince,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Brad Lander,2
Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,2
Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,2
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,Zellnor Myrie,2
Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Brad Lander,Selma K. Bartholomew,2
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,2
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Whitney R. Tilson,2
Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,2
Jessica Ramos,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,2
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,,2
Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Brad Lander,Michael Blake,2
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Candidate Write-in,2
Whitney R. Tilson,Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,Scott M. Stringer,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Brad Lander,Michael Blake,2
Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,2
Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,2
Jessica Ramos,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Candidate Write-in,Scott M. Stringer,Adrienne E. Adams,2
Scott M. Stringer,Michael Blake,Brad Lander,Zellnor Myrie,Jessica Ramos,2
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Whitney R. Tilson,Michael Blake,2
Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,Whitney R. Tilson,,2
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Selma K. Bartholomew,2
Candidate Write-in,Jessica Ramos,Whitney R. Tilson,,,2
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,2
Candidate Write-in,Andrew M. Cuomo,Jessica Ramos,,,2
Andrew M. Cuomo,Candidate Write-in,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,2
Andrew M. Cuomo,Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,2
Brad Lander,Selma K. Bartholomew,Zellnor Myrie,Jessica Ramos,Paperboy Love Prince,2
Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,Jessica Ramos,Brad Lander,2
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,2
Scott M. Stringer,Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,2
Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,Whitney R. Tilson,Adrienne E. Adams,2
Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,Brad Lander,2
Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,Paperboy Love Prince,Candidate Write-in,2
Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Brad Lander,Selma K. Bartholomew,2
Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Zellnor Myrie,2
Paperboy Love Prince,Selma K. Bartholomew,Michael Blake,,,2
Andrew M. Cuomo,Paperboy Love Prince,Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,2
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,Selma K. Bartholomew,2
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,,,2
Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,Whitney R. Tilson,2
Michael Blake,Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,Selma K. Bartholomew,2
Scott M. Stringer,Michael Blake,Brad Lander,Paperboy Love Prince,Selma K. Bartholomew,2
Paperboy Love Prince,Michael Blake,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,2
Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,Brad Lander,Michael Blake,2
Candidate Write-in,Scott M. Stringer,Whitney R. Tilson,Michael Blake,,2
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,Candidate Write-in,2
Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,2
Zohran Kwame Mamdani,Candidate Write-in,Brad Lander,Zellnor Myrie,Adrienne E. Adams,2
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Candidate Write-in,Andrew M. Cuomo,2
Brad Lander,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Paperboy Love Prince,2
Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,2
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,2
Andrew M. Cuomo,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,2
Adrienne E. Adams,Selma K. Bartholomew,Brad Lander,Jessica Ramos,Zellnor Myrie,2
Zohran Kwame Mamdani,Paperboy Love Prince,Candidate Write-in,Adrienne E. Adams,Brad Lander,2
Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Candidate Write-in,2
Scott M. Stringer,Brad Lander,Michael Blake,Zellnor Myrie,,2
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,2
Zellnor Myrie,Scott M. Stringer,Jessica Ramos,Brad Lander,,2
Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Brad Lander,2
Zellnor Myrie,Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Brad Lander,2
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,,2
Adrienne E. Adams,Selma K. Bartholomew,Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,2
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,2
Brad Lander,Jessica Ramos,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,2
Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,2
Paperboy Love Prince,Michael Blake,Brad Lander,Zohran Kwame Mamdani,,2
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,Jessica Ramos,2
Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,2
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Michael Blake,,2
Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,2
Paperboy Love Prince,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,2
Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,,2
Jessica Ramos,Zellnor Myrie,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,2
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,2
Zohran Kwame Mamdani,Michael Blake,Paperboy Love Prince,Zellnor Myrie,Jessica Ramos,2
Zohran Kwame Mamdani,Candidate Write-in,Andrew M. Cuomo,,,2
Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,,2
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,2
Zohran Kwame Mamdani,Zellnor Myrie,Paperboy Love Prince,Michael Blake,Scott M. Stringer,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Michael Blake,2
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Zohran Kwame Mamdani,Paperboy Love Prince,2
Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,2
Adrienne E. Adams,Zellnor Myrie,Brad Lander,Selma K. Bartholomew,Jessica Ramos,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Candidate Write-in,2
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Whitney R. Tilson,Candidate Write-in,2
Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,,,2
Paperboy Love Prince,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Jessica Ramos,2
Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,2
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,2
Paperboy Love Prince,Andrew M. Cuomo,Scott M. Stringer,,,2
Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Brad Lander,,2
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,2
Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,2
Zohran Kwame Mamdani,Adrienne E. Adams,,,,2
Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Zellnor Myrie,Whitney R. Tilson,2
Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,Zohran Kwame Mamdani,Brad Lander,2
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,Adrienne E. Adams,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,2
Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,2
Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,2
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Andrew M. Cuomo,Whitney R. Tilson,2
Jessica Ramos,Scott M. Stringer,Brad Lander,Zellnor Myrie,Adrienne E. Adams,2
Jessica Ramos,Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,2
Selma K. Bartholomew,Andrew M. Cuomo,Zohran Kwame Mamdani,,,2
Paperboy Love Prince,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,Jessica Ramos,2
Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,2
Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,Selma K. Bartholomew,Jessica Ramos,2
Paperboy Love Prince,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,2
Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,2
Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Adrienne E. Adams,2
Jessica Ramos,Brad Lander,Adrienne E. Adams,Scott M. Stringer,,2
Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,2
Whitney R. Tilson,Brad Lander,Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,2
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,2
Andrew M. Cuomo,Candidate Write-in,Whitney R. Tilson,Scott M. Stringer,Brad Lander,2
Adrienne E. Adams,Zohran Kwame Mamdani,,,,2
Scott M. Stringer,Michael Blake,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,2
Scott M. Stringer,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Andrew M. Cuomo,2
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,,2
Adrienne E. Adams,Scott M. Stringer,Michael Blake,Whitney R. Tilson,,2
Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,Whitney R. Tilson,Zohran Kwame Mamdani,2
Selma K. Bartholomew,Zellnor Myrie,Brad Lander,Scott M. Stringer,Jessica Ramos,2
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Michael Blake,2
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,2
Michael Blake,Selma K. Bartholomew,Paperboy Love Prince,,,2
Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,2
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,2
Paperboy Love Prince,Michael Blake,Zellnor Myrie,Adrienne E. Adams,Brad Lander,2
Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zohran Kwame Mamdani,2
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,2
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,2
Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,Zellnor Myrie,Zohran Kwame Mamdani,2
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,,,2
Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,,2
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Whitney R. Tilson,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,2
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,2
Adrienne E. Adams,Zellnor Myrie,Michael Blake,Selma K. Bartholomew,Brad Lander,2
Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,2
Brad Lander,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,2
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Scott M. Stringer,Candidate Write-in,2
Brad Lander,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,2
Brad Lander,Scott M. Stringer,Michael Blake,Paperboy Love Prince,Zohran Kwame Mamdani,2
Whitney R. Tilson,Selma K. Bartholomew,Scott M. Stringer,Brad Lander,Andrew M. Cuomo,2
Adrienne E. Adams,Paperboy Love Prince,Andrew M. Cuomo,Scott M. Stringer,,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Paperboy Love Prince,2
Andrew M. Cuomo,Candidate Write-in,Adrienne E. Adams,Brad Lander,Scott M. Stringer,2
Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,2
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,Andrew M. Cuomo,2
Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,2
Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,2
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Whitney R. Tilson,2
Adrienne E. Adams,Michael Blake,Jessica Ramos,Scott M. Stringer,,2
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Andrew M. Cuomo,2
Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,2
Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Jessica Ramos,Zellnor Myrie,2
Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,Whitney R. Tilson,,2
Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Zellnor Myrie,Zohran Kwame Mamdani,2
Andrew M. Cuomo,Zellnor Myrie,Paperboy Love Prince,Jessica Ramos,Whitney R. Tilson,2
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Brad Lander,Whitney R. Tilson,2
Adrienne E. Adams,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,,2
