rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,383
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,,381
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Jessica Ramos,379
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,,,377
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,,377
Brad Lander,Scott M. Stringer,Andrew M. Cuomo,,,373
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Jessica Ramos,372
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,,,372
Whitney R. Tilson,,,,,371
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,,,370
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,370
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Michael Blake,368
Zohran Kwame Mamdani,Michael Blake,Brad Lander,,,366
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,,,364
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,360
Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,,,350
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,,,348
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Michael Blake,Brad Lander,345
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,Michael Blake,338
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,336
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,,334
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,,333
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,,332
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Michael Blake,331
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Scott M. Stringer,Zellnor Myrie,331
Andrew M. Cuomo,,,,,328
Adrienne E. Adams,,,,,327
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,325
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,323
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,322
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,321
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Candidate Write-in,319
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Zohran Kwame Mamdani,317
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Michael Blake,Adrienne E. Adams,308
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,308
Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,,,306
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Brad Lander,304
Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,,,303
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,296
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,,,296
Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,,,294
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,,293
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Michael Blake,Adrienne E. Adams,290
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,289
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,,,289
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,289
Adrienne E. Adams,Zellnor Myrie,,,,280
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,278
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Jessica Ramos,277
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,,,277
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,276
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Jessica Ramos,275
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Scott M. Stringer,274
Scott M. Stringer,Brad Lander,,,,273
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,,,273
Brad Lander,Adrienne E. Adams,Zellnor Myrie,,,273
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Michael Blake,272
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,Michael Blake,271
