rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,Zellnor Myrie,543
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Zellnor Myrie,541
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,,,534
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,532
Michael Blake,,,,,531
Scott M. Stringer,Jumaane D. Williams,,,,530
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,529
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Michael Blake,528
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,524
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,521
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,,,513
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Scott M. Stringer,511
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Scott M. Stringer,510
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,,509
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,,,508
Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,,,505
Brad Lander,Adrienne E. Adams,Zellnor Myrie,,,498
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,496
Adrienne E. Adams,Brad Lander,,,,495
Whitney R. Tilson,,,,,493
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Zohran Kwame Mamdani,492
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,487
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Adrienne E. Adams,487
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,,480
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,,,475
Adrienne E. Adams,Brad Lander,Jumaane D. Williams,,,474
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,,,472
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,,,468
Zohran Kwame Mamdani,Michael Blake,,,,465
