rank1,rank2,rank3,rank4,rank5,count
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Jumaane D. Williams,2
Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Michael Blake,Marty Dolan,2
Selma K. Bartholomew,Brad Lander,Jessica Ramos,Zellnor Myrie,Jenifer Rajkumar,2
Michael Blake,Jessica Ramos,Adrienne E. Adams,Brad Lander,,2
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,Marty Dolan,2
Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,Jumaane D. Williams,2
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Jenifer Rajkumar,2
Scott M. Stringer,Brad Lander,Paperboy Love Prince,Michael Blake,Marty Dolan,2
Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,Jumaane D. Williams,2
Adrienne E. Adams,Whitney R. Tilson,Andrew M. Cuomo,Jumaane D. Williams,,2
Zellnor Myrie,Brad Lander,Paperboy Love Prince,Jenifer Rajkumar,,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Jenifer Rajkumar,,2
Adrienne E. Adams,Michael Blake,Scott M. Stringer,Jenifer Rajkumar,,2
Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,Selma K. Bartholomew,Jumaane D. Williams,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Jessica Ramos,Marty Dolan,2
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,Jumaane D. Williams,2
Paperboy Love Prince,Zellnor Myrie,Selma K. Bartholomew,Whitney R. Tilson,Marty Dolan,2
Jessica Ramos,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,Jumaane D. Williams,2
Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Whitney R. Tilson,Marty Dolan,2
Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,Paperboy Love Prince,Marty Dolan,2
Selma K. Bartholomew,Michael Blake,Jessica Ramos,Zellnor Myrie,Jenifer Rajkumar,2
Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Jenifer Rajkumar,,2
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Jenifer Rajkumar,2
Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Michael Blake,Jenifer Rajkumar,2
Whitney R. Tilson,Michael Blake,Jessica Ramos,Paperboy Love Prince,Marty Dolan,2
Whitney R. Tilson,Michael Blake,Paperboy Love Prince,Zellnor Myrie,Jumaane D. Williams,2
Michael Blake,Zellnor Myrie,Selma K. Bartholomew,Zohran Kwame Mamdani,Jumaane D. Williams,2
Michael Blake,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,Jenifer Rajkumar,2
Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,Scott M. Stringer,Jenifer Rajkumar,2
Brad Lander,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Jumaane D. Williams,2
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Andrew M. Cuomo,Jumaane D. Williams,2
Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Marty Dolan,2
Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,Jumaane D. Williams,2
Zellnor Myrie,Selma K. Bartholomew,Zohran Kwame Mamdani,Scott M. Stringer,Jumaane D. Williams,2
Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Zellnor Myrie,Jenifer Rajkumar,2
Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Jenifer Rajkumar,2
Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,Michael Blake,Jumaane D. Williams,2
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Jumaane D. Williams,2
Paperboy Love Prince,Michael Blake,Whitney R. Tilson,Jessica Ramos,Marty Dolan,2
Jessica Ramos,Brad Lander,Michael Blake,Jumaane D. Williams,,2
Scott M. Stringer,Zohran Kwame Mamdani,Selma K. Bartholomew,Whitney R. Tilson,Jumaane D. Williams,2
Jessica Ramos,Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Marty Dolan,2
Brad Lander,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,Marty Dolan,2
Brad Lander,Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,Marty Dolan,2
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,Marty Dolan,2
Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Paperboy Love Prince,Jumaane D. Williams,2
Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Jumaane D. Williams,2
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Marty Dolan,2
Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Zellnor Myrie,Jumaane D. Williams,2
Scott M. Stringer,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,Marty Dolan,2
Paperboy Love Prince,Jessica Ramos,Whitney R. Tilson,Michael Blake,Marty Dolan,2
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Jenifer Rajkumar,2
Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,Adrienne E. Adams,Jumaane D. Williams,2
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Jumaane D. Williams,2
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jumaane D. Williams,2
Whitney R. Tilson,Brad Lander,Adrienne E. Adams,Michael Blake,Jenifer Rajkumar,2
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Jumaane D. Williams,2
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Marty Dolan,,2
Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Marty Dolan,2
Michael Blake,Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,Jumaane D. Williams,2
Whitney R. Tilson,Zellnor Myrie,Brad Lander,Jessica Ramos,Jumaane D. Williams,2
Jessica Ramos,Brad Lander,Paperboy Love Prince,Michael Blake,Jumaane D. Williams,2
Brad Lander,Michael Blake,Andrew M. Cuomo,Zohran Kwame Mamdani,Jumaane D. Williams,2
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Marty Dolan,,2
Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,Jumaane D. Williams,2
Jessica Ramos,Michael Blake,Paperboy Love Prince,Zohran Kwame Mamdani,Marty Dolan,2
Brad Lander,Michael Blake,Whitney R. Tilson,Zellnor Myrie,Marty Dolan,2
Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Jenifer Rajkumar,2
Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,Marty Dolan,2
Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Brad Lander,Jumaane D. Williams,2
Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Jenifer Rajkumar,2
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,Marty Dolan,2
Jessica Ramos,Jessica Ramos,Jessica Ramos,Jessica Ramos,Marty Dolan,2
Jessica Ramos,Brad Lander,Zellnor Myrie,Paperboy Love Prince,Jumaane D. Williams,2
Jessica Ramos,Michael Blake,Scott M. Stringer,Andrew M. Cuomo,Jenifer Rajkumar,2
Scott M. Stringer,Paperboy Love Prince,Jessica Ramos,Selma K. Bartholomew,Jenifer Rajkumar,2
Selma K. Bartholomew,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,2
Selma K. Bartholomew,Brad Lander,Scott M. Stringer,Zellnor Myrie,Jenifer Rajkumar,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Marty Dolan,,2
Paperboy Love Prince,Brad Lander,Michael Blake,Whitney R. Tilson,,2
Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,Jumaane D. Williams,,2
Jessica Ramos,Michael Blake,Scott M. Stringer,Brad Lander,Jenifer Rajkumar,2
Michael Blake,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Marty Dolan,2
Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Jenifer Rajkumar,,2
Jessica Ramos,Paperboy Love Prince,Brad Lander,Whitney R. Tilson,Jumaane D. Williams,2
Zellnor Myrie,Whitney R. Tilson,Brad Lander,Scott M. Stringer,Jumaane D. Williams,2
Jessica Ramos,Michael Blake,Scott M. Stringer,Zellnor Myrie,Jumaane D. Williams,2
Michael Blake,Brad Lander,Jessica Ramos,Paperboy Love Prince,Jumaane D. Williams,2
Zohran Kwame Mamdani,Whitney R. Tilson,Adrienne E. Adams,Zellnor Myrie,Jenifer Rajkumar,2
Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Michael Blake,Jumaane D. Williams,2
Brad Lander,Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,Marty Dolan,2
Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Brad Lander,Jumaane D. Williams,2
Paperboy Love Prince,Jessica Ramos,Zellnor Myrie,Zohran Kwame Mamdani,Jumaane D. Williams,2
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Michael Blake,Jenifer Rajkumar,2
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Jumaane D. Williams,2
Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Jumaane D. Williams,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,2
Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,Jenifer Rajkumar,2
Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Jumaane D. Williams,2
Adrienne E. Adams,Brad Lander,Scott M. Stringer,Michael Blake,Marty Dolan,2
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Marty Dolan,,2
Zellnor Myrie,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Jenifer Rajkumar,2
Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,Jumaane D. Williams,2
Jessica Ramos,Brad Lander,Selma K. Bartholomew,Jumaane D. Williams,,2
Whitney R. Tilson,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Marty Dolan,2
Scott M. Stringer,Zellnor Myrie,Michael Blake,Brad Lander,Marty Dolan,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,Marty Dolan,2
Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,Jenifer Rajkumar,2
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Zohran Kwame Mamdani,Marty Dolan,2
Adrienne E. Adams,Zellnor Myrie,Michael Blake,Scott M. Stringer,Jenifer Rajkumar,2
Whitney R. Tilson,Michael Blake,Scott M. Stringer,Zellnor Myrie,Marty Dolan,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Whitney R. Tilson,Adrienne E. Adams,Jumaane D. Williams,2
Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,Jenifer Rajkumar,2
Michael Blake,Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Jenifer Rajkumar,2
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Andrew M. Cuomo,Jumaane D. Williams,2
Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,Jumaane D. Williams,2
Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,Jessica Ramos,,2
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Michael Blake,Marty Dolan,2
Jessica Ramos,Andrew M. Cuomo,Jessica Ramos,Andrew M. Cuomo,Jenifer Rajkumar,2
Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Whitney R. Tilson,Marty Dolan,2
Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,Jumaane D. Williams,,2
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Marty Dolan,2
Whitney R. Tilson,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Jumaane D. Williams,2
Jessica Ramos,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,,2
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Jenifer Rajkumar,2
Brad Lander,Michael Blake,Jessica Ramos,Whitney R. Tilson,Marty Dolan,2
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Marty Dolan,2
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Jumaane D. Williams,2
Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Brad Lander,,2
Selma K. Bartholomew,Jessica Ramos,Paperboy Love Prince,Jumaane D. Williams,,2
Scott M. Stringer,Brad Lander,Zellnor Myrie,Michael Blake,Marty Dolan,2
Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,,2
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Scott M. Stringer,Jenifer Rajkumar,2
Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Jenifer Rajkumar,,2
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Jumaane D. Williams,,2
Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Marty Dolan,2
Paperboy Love Prince,Michael Blake,Whitney R. Tilson,Marty Dolan,,2
Michael Blake,Brad Lander,Selma K. Bartholomew,Jessica Ramos,Jenifer Rajkumar,2
Jessica Ramos,Paperboy Love Prince,Scott M. Stringer,Andrew M. Cuomo,Jenifer Rajkumar,2
Selma K. Bartholomew,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Jenifer Rajkumar,2
Jessica Ramos,Selma K. Bartholomew,Michael Blake,Jumaane D. Williams,,2
Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Jenifer Rajkumar,,2
Michael Blake,Brad Lander,Scott M. Stringer,Marty Dolan,,2
Michael Blake,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Marty Dolan,2
Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Jumaane D. Williams,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Jumaane D. Williams,,2
Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Scott M. Stringer,Jenifer Rajkumar,2
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Marty Dolan,,2
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Zellnor Myrie,Jenifer Rajkumar,2
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Zohran Kwame Mamdani,Jumaane D. Williams,2
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Jessica Ramos,Jumaane D. Williams,2
Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Michael Blake,Jumaane D. Williams,2
Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Jumaane D. Williams,2
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Jumaane D. Williams,,2
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Marty Dolan,2
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Jenifer Rajkumar,2
Brad Lander,Michael Blake,Zellnor Myrie,Selma K. Bartholomew,Marty Dolan,2
Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,Paperboy Love Prince,Jumaane D. Williams,2
Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Jenifer Rajkumar,,2
Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,Jessica Ramos,Jumaane D. Williams,2
Brad Lander,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,Jenifer Rajkumar,2
Selma K. Bartholomew,Scott M. Stringer,Zellnor Myrie,Paperboy Love Prince,Jumaane D. Williams,2
Jessica Ramos,Paperboy Love Prince,Michael Blake,Scott M. Stringer,Jenifer Rajkumar,2
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Jenifer Rajkumar,,2
Andrew M. Cuomo,Paperboy Love Prince,Jenifer Rajkumar,,,2
Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Jenifer Rajkumar,2
Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Michael Blake,Jumaane D. Williams,2
Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,Jumaane D. Williams,2
Brad Lander,Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,Jenifer Rajkumar,2
Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,Jessica Ramos,Andrew M. Cuomo,1
Whitney R. Tilson,Zellnor Myrie,Selma K. Bartholomew,,,1
Andrew M. Cuomo,Paperboy Love Prince,Selma K. Bartholomew,Michael Blake,,1
Zellnor Myrie,Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,Scott M. Stringer,1
Zellnor Myrie,Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,Andrew M. Cuomo,1
Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,,1
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Paperboy Love Prince,Write-In,1
Whitney R. Tilson,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,1
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,1
Brad Lander,Adrienne E. Adams,Brad Lander,Brad Lander,Adrienne E. Adams,1
Whitney R. Tilson,Scott M. Stringer,Write-In,Brad Lander,Zellnor Myrie,1
Whitney R. Tilson,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,Paperboy Love Prince,1
Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Brad Lander,1
Brad Lander,Zellnor Myrie,Whitney R. Tilson,Write-In,Jessica Ramos,1
Andrew M. Cuomo,Scott M. Stringer,Write-In,Adrienne E. Adams,Michael Blake,1
Andrew M. Cuomo,Paperboy Love Prince,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,1
Scott M. Stringer,Whitney R. Tilson,Brad Lander,Jessica Ramos,Adrienne E. Adams,1
Scott M. Stringer,Brad Lander,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,1
Brad Lander,Scott M. Stringer,Michael Blake,Whitney R. Tilson,Paperboy Love Prince,1
Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,1
Brad Lander,Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Write-In,1
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,Brad Lander,1
Andrew M. Cuomo,Write-In,Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,1
Scott M. Stringer,Zellnor Myrie,Michael Blake,Whitney R. Tilson,Adrienne E. Adams,1
Zellnor Myrie,Adrienne E. Adams,Brad Lander,Michael Blake,Selma K. Bartholomew,1
Michael Blake,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Paperboy Love Prince,Write-In,Brad Lander,Zohran Kwame Mamdani,,1
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Write-In,1
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,1
Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,,1
Brad Lander,Scott M. Stringer,Whitney R. Tilson,Selma K. Bartholomew,Paperboy Love Prince,1
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Selma K. Bartholomew,1
Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,,1
Zellnor Myrie,Brad Lander,Michael Blake,Adrienne E. Adams,Jessica Ramos,1
Whitney R. Tilson,Adrienne E. Adams,Michael Blake,,,1
Whitney R. Tilson,Jessica Ramos,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,1
Andrew M. Cuomo,Scott M. Stringer,Write-In,Michael Blake,Zohran Kwame Mamdani,1
Brad Lander,Scott M. Stringer,Paperboy Love Prince,Zellnor Myrie,Jessica Ramos,1
Brad Lander,Michael Blake,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,1
Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,1
Brad Lander,Paperboy Love Prince,Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,1
Paperboy Love Prince,Andrew M. Cuomo,Brad Lander,Michael Blake,Whitney R. Tilson,1
Whitney R. Tilson,Michael Blake,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,1
Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,1
Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Brad Lander,Selma K. Bartholomew,1
Adrienne E. Adams,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,,1
Adrienne E. Adams,Selma K. Bartholomew,Zohran Kwame Mamdani,Scott M. Stringer,,1
Zellnor Myrie,Andrew M. Cuomo,Michael Blake,Scott M. Stringer,,1
Brad Lander,Zohran Kwame Mamdani,Selma K. Bartholomew,Andrew M. Cuomo,Jessica Ramos,1
Brad Lander,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,1
Paperboy Love Prince,Whitney R. Tilson,Michael Blake,Brad Lander,Selma K. Bartholomew,1
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,Zellnor Myrie,1
Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Michael Blake,1
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Zellnor Myrie,,1
Brad Lander,Zellnor Myrie,Paperboy Love Prince,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Scott M. Stringer,Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Adrienne E. Adams,Michael Blake,1
Adrienne E. Adams,Zellnor Myrie,Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,1
Zellnor Myrie,Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Brad Lander,1
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,Adrienne E. Adams,1
Andrew M. Cuomo,Adrienne E. Adams,Write-In,Paperboy Love Prince,Selma K. Bartholomew,1
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,,1
Scott M. Stringer,Zellnor Myrie,Jessica Ramos,Andrew M. Cuomo,Brad Lander,1
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Write-In,Selma K. Bartholomew,1
Whitney R. Tilson,Zellnor Myrie,Write-In,Andrew M. Cuomo,Scott M. Stringer,1
Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,1
Whitney R. Tilson,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,,1
Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Michael Blake,Selma K. Bartholomew,1
Paperboy Love Prince,Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,1
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Whitney R. Tilson,1
Scott M. Stringer,Michael Blake,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,1
Brad Lander,Scott M. Stringer,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,1
Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Zohran Kwame Mamdani,1
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Brad Lander,Zellnor Myrie,1
Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Whitney R. Tilson,1
Paperboy Love Prince,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,1
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Write-In,,1
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Michael Blake,1
Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,1
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,1
Adrienne E. Adams,Whitney R. Tilson,Brad Lander,Zellnor Myrie,Write-In,1
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Michael Blake,Selma K. Bartholomew,1
Zellnor Myrie,Brad Lander,Write-In,Andrew M. Cuomo,,1
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,1
Whitney R. Tilson,Scott M. Stringer,Brad Lander,Michael Blake,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,1
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Michael Blake,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,,1
Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Brad Lander,Zellnor Myrie,1
Scott M. Stringer,Whitney R. Tilson,Brad Lander,Michael Blake,Zellnor Myrie,1
Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,1
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,1
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,1
Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Michael Blake,Zellnor Myrie,1
Zellnor Myrie,Michael Blake,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,1
Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,1
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,Whitney R. Tilson,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Paperboy Love Prince,Zellnor Myrie,1
